|character|text|type
0||"FADE IN
on the words CZECH AIRLINE.  We are panning across the words
on the side of the plane."|stage direction
1||INT. AIRPLANE|location
2||"ANGLE DOWN
on a tray table.  Crumpled Czech bills and coins are on it.
Hands are counting the money.  The airline hostess announces
the arrival at JFK - in CZECH.  A hand reaches into a breast
pocket - pulling out two passports.  One is opened.  Belongs
to EMIL SLOVAK.  The next passport belongs to OLEG RAZGUL.
The hand passes the Oleg Razgul passport to the man next to
him.  We notice several empty airline bottles of vodka and a
small disposable camera on Oleg's tray table.  The passport
is set down.  Oleg picks it up.  We hear Emil's voice in
CZECH.  The scene is subtitled in ENGLISH."|stage direction
3|EMIL (V.O.)|"Just do what I do.  Say the same thing I
say.  Don't open your mouth."|speech
4|OLEG (V.O.)|Okay.|speech
5||INT. PASSPORT CONTROL - KENNEDY AIRPORT - DAY|location
6||"CAMERA DOLLIES down a long line of passengers.  They are
split into two lines - one for Americans, the other for
visitors.  CAMERA finally arrives at EMIL SLOVAK.  An
unshaven Czech in his mid-30's.  Tall, scraggly beard.
Piercing blue eyes.  He's dressed in an outdated suit.  His
eyes are alert, cunning and smart.
OLEG RAZGUL, stands in line behind Emil.  Oleg is big.  Not
tall - but wide.  A wrestler's body.  Emil looks at Oleg.
(The following is in CZECH and subtitled in ENGLISH.)"|stage direction
7|EMIL|Don't fool around.|speech
8|OLEG|Okay.|speech
9||"Oleg holds up his disposable camera - at arms length - to
take a picture of himself."|stage direction
10|EMIL|Did you hear what I said?|speech
11|OLEG|I want to document my trip to America.|speech
12|IMMIGRATION OFFICER|Next.|speech
13||(Emil steps up)|location
14|IMMIGRATION OFFICER|Could I see your documents, please?|speech
15|EMIL|Yes sir.|speech
16||"He hands the passport to the officer who runs it through an
image swipe.  Emil glances furtively back to Oleg."|stage direction
17|IMMIGRATION OFFICER|"What is your intended purpose of your
visit to the United States?"|speech
18|EMIL|Two weeks holiday.|speech
19|IMMIGRATION OFFICER|"How much money are you carrying with
you?"|speech
20|EMIL|I have five-hundred dollars.|speech
21|IMMIGRATION OFFICER|"Can you show me?  Sir, no cameras in the
FIS area!"|speech
22||"Oleg was about to take a picture of Emil and the Immigration
Officer.  Oleg puts the camera away.  Smiles sheepishly."|stage direction
23||(to Emil)|location
24|IMMIGRATION OFFICER (CONT'D)|"Is he with you?  Are you travelling
together?"|speech
25|EMIL|Yes.|speech
26|IMMIGRATION OFFICER|Please join us.|speech
27||(to Oleg)|location
28|IMMIGRATION OFFICER|Come on forward.|speech
29|EMIL|Is there a problem?|speech
30|IMMIGRATION OFFICER|"No, you're travelling together.  I want
to talk to you together.  Hi, how are
you?  Can I take a look at your
documents?"|speech
31||(takes Oleg's passport)|location
32|IMMIGRATION OFFICER|Are you related?|speech
33|OLEG|Yes...he's my friend.|speech
34|IMMIGRATION OFFICER|"Okay.  You're a Czech national and
you're a Russian national.  How do you
know one another?"|speech
35||Oleg starts to speak, but Emil cuts him off.|stage direction
36|EMIL|We are both from Prague.|speech
37||(to Oleg)|location
38|IMMIGRATION OFFICER|How long are you planning to stay?|speech
39|EMIL|Two weeks.|speech
40|IMMIGRATION OFFICER|I'd like to speak for himself, okay?|speech
41|EMIL|He doesn't speak English.|speech
42|OLEG|I speak English.|speech
43||(to Oleg)|location
44|IMMIGRATION OFFICER|"Then answer my questions.  Where were
you planning to stay during the two
weeks that you're here?"|speech
45|OLEG|New York.|speech
46|IMMIGRATION OFFICER|"Yes, we're in New York now.  But where
are you planning to stay in New York?"|speech
47|OLEG|A cheap hotel.|speech
48|IMMIGRATION OFFICER|What are you coming here to do?|speech
49|OLEG|I'm here for movies.|speech
50|IMMIGRATION OFFICER|"Movies...to be in the movies or to see
movies?"|speech
51|OLEG|"Yes.  No.  Both.  When I was a boy, I
see movie at school called ""It's a
Wonderful Life"" directed by Frank Capra.
Ever since I want to come to America.
Land of the free.  Home of the brave.  A
land where anyone can be anything. As
long as they are white."|speech
52|IMMIGRATION OFFICER|Excuse me?|speech
53|EMIL|"He made joke, bad joke.  First time on
airplane..."|speech
54||The SUPERVISOR comes over to see what the problem is:|stage direction
55|IMMIGRATION OFFICER|"Well, they've got valid visas, but they
don't have much money.  Uh... and I'm
not...uh, I think there's a possibility
they may be coming to live and reside."|speech
56|SUPERVISOR|"Look how long the line is.  We gotta
move 'em out.  I'll take them down to
secondary."|speech
57||Emil looks at Oleg, pissed.|stage direction
58||INT. P.B. HERMAN'S RESTAURANT - DAY|location
59||"The place is empty except for one table at the end of the
bar.  EDDIE FLEMMING, Manhattan's most famous detective, and
his savvy, black partner, LEON JACKSON are having cocktails.
Eddie is smoothly handsome, tough, smart and tired.  Not only
is he the best homicide detective Manhattan has ever seen,
he's continually mentioned in New York columns and has been
the subject of several magazine articles.  There's even been
a TV movie about one of his biggest cases.  Leon has been
with Eddie a long time and was also featured in the TV movie.
Sitting with Eddie and Leon is ROBERT HAWKINS, host and star
reporter for the tabloid show, ""Top Story.""  Hawkins is also
the best in the business and has dealt with them all: Joey
Buttafuco and Amy Fisher, Lorena Bobbit and OJ.
Wait staff bustles in the b.g. doing the morning set up.
Hawkins listens as Eddie, cigar in hand, finishes a ""war
story"" and a vodka tonic at the same time."|stage direction
60|EDDIE|"So we're waitin' to hit this warrant -
we got Emergency Service with the heavy
weapons standin' by - ready to go.  I
say, lemme get a cigar outta the car.  I
go to get the cigar and BOOM!  All the
sudden I turn around and a kid with a
shotgun let one go.  Right where I was
standin'.  That coulda been it.  I
coulda had my head blown off and for
what?  Some stupid kid got panicky,
takes the safety off and it's over.  If
I hadn't gone back for that cigar - for
a bad habit - I would've had my head
blown off."|speech
61|HAWKINS|Jesus Christ.|speech
62||PAULIE, the owner, walks up.|stage direction
63|PAULIE|Speakin' of bad habits, everybody okay?|speech
64|HAWKINS|Another martini.|speech
65|LEON|Coffee for me, I gotta slow down.|speech
66|EDDIE|Vodka tonic.|speech
67||(rethinks it)|location
68|LEON|"Maybe you could just put in a shot of
Martell?"|speech
69||"Paulie takes the drinks off the table and an empty bottle of
vodka."|stage direction
70||(of Eddie's story)|location
71|LEON (CONT'D)|"It was freaky, I'll tell you.  Stupid
kid."|speech
72|EDDIE|"What's the kid gonna say - sorry?
Meanwhile I'm not here anymore.
Like last week - we were at the morgue
and this guy was all chopped up - spleen
here - liver there - his heart in a pan.
Six hours ago this guy was walkin' his
dog or buyin' a quart of milk.  Who
knows?  But some kid's robbed him for $3
or some shit and shot him and now you
can't tell if he's a piece of beef or a
human being and I'm thinkin' that's me.
Sooner or later.  That's me."|speech
73|HAWKINS|Sooner or later that's everybody.|speech
74|EDDIE|"Not chopped up.  Not chopped up like
that.  I mean, what do I got left?
Coupla articles.  A medal or two.
Plaque here and there and in a coupla
years no one remembers me anymore."|speech
75|HAWKINS|"I think you're getting a little moody
there, Eddie."|speech
76|EDDIE|I'm not moody.|speech
77||Hawkins and Leon share a look.|stage direction
78|HAWKINS|Isn't he a little moody?|speech
79|LEON|"Of course he's moody.  He thinks he's in
love."|speech
80|HAWKINS|In love?  With who?|speech
81||"Paulie delivers the drinks and sets some cigars on the table.
Takes a seat next to Eddie.  Eddie asks Hawkins."|stage direction
82|EDDIE|How old are your kids?|speech
83|HAWKINS|"My kids?  Let's see...Susan's 15.
Aundrea's 9.  Don't tell me you're
thinking about having a kid!  How old
are you?  Never mind.
Let me just tell you this: Every stupid
cliche you hear about kids - they change
your life, they make you a better
person, they make you whole..."|speech
84||(beat)|location
85|HAWKINS|"It's all true!  Before I had kids when
friends talked about their kids, I
wanted to vomit.  Now -- I get it.  Am I
right, Leon?"|speech
86|LEON|"Absomotherfuckin'lutely.  You can have
all three of my ex-wives.  But somebody
so much as looks sideways at my four
girls -- I'd kill 'em."|speech
87||(takes out his wallet)|location
88|LEON|You haven't seen my youngest have you?|speech
89||As he hands pictures to Hawkins his cell phone rings.|stage direction
90|LEON (CONT'D)|Yeah?|speech
91|HAWKINS|Paulie, you've got kids, right?|speech
92|PAULIE|"My kids don't talk to me anymore but
they were great when they were young."|speech
93||(into the phone)|location
94|LEON|Sure it's him?  Great!|speech
95||(collapses the phone)|location
96|LEON|Unique's home.|speech
97||They all rise from the table.|stage direction
98|EDDIE|Paulie, I need the cure.|speech
99|PAULIE|Step into my office.|speech
100||Leon and Hawkins sit back down as Eddie and Paulie leave.|stage direction
101|HAWKINS|"So you got your kids listening to Opera?
You still singing in the church on the
weekends?"|speech
102||INT. SECONDARY IMMIGRATION OFFICE - DAY|location
103||"Now other officers are questioning Emil and Oleg.  They've
been there a while.  The SECONDARY OFFICER is looking Oleg."|stage direction
104|SECONDARY OFFICER|"Okay.  You work in a vodka factory.  I
understand that."|speech
105||(to Emil)|location
106|SECONDARY OFFICER|And what kind of work do you do?|speech
107|EMIL|I am butcher.|speech
108|SECONDARY OFFICER|"You're a butcher?  What do you use pig
intestines for?"|speech
109|EMIL|You stuff sausage in it.|speech
110|SECONDARY OFFICER|And what do you do with the bones?|speech
111|EMIL|Dog food.|speech
112||"Emil looks at Oleg.  Blaming his stupid responses at Passport
Control for their detainment."|stage direction
113|SECONDARY OFFICER|Are you married?|speech
114|EMIL|No.  Are you proposing?|speech
115||"ANGLE UP
through a thousand ICE CUBES.  A face plunges towards us..."|stage direction
116||INT. MENS ROOM|location
117||"Eddie has his back to us as he dunks his face into a sink
full of ice.  He dries his face, looks into his bloodshot
eyes.  Presents a small black ring box to the mirror."|stage direction
118|EDDIE|"Will you marry me?  Wanna get married?
What are you doin' Saturday?"|speech
119||Leon enters.  Eddie turns.|stage direction
120|EDDIE (CONT'D)|I'm gonna propose.|speech
121|LEON|When?|speech
122|EDDIE|Tomorrow.  At lunch.|speech
123|LEON|You ready?|speech
124||Eddie leans back and drops some Visine in his eyes.  Turns.|stage direction
125|EDDIE|The thrill of the hunt.  I love it.|speech
126||EXT. TIMES SQUARE - DAY|location
127||"Oleg and Emil stare at the bright lights - all the nonstop
action.  Each stands with an old suitcase."|stage direction
128||(in Russian)|location
129|OLEG|"Look.  Times Square.  Just like in the
movies!"|speech
130||(in Czech)|location
131|EMIL|Don't speak Russian!|speech
132||(in Russian)|location
133|OLEG|"Why?  Why do I always have to speak to
you in Czech?"|speech
134||(in Czech)|location
135|EMIL|"Because I don't like your ugly language.
I heard enough of it in school!  Now
speak Czech or English.  And don't fool
around anymore.  You almost got us
thrown out!"|speech
136||"Emil pulls out an envelope with Milos' address on it.  This
is who they came to see.  Emil hails a CAB.  Oleg is staring
inside a camera store - at himself on a monitor.  A
videocamera's pointed out in the street."|stage direction
137|OLEG|"Look.  New videocameras.  Color
viewfinder.  Image stabilization.
Solarization.  Night vision."|speech
138|EMIL|We have no money.  Come on.|speech
139||"Oleg stares at the videocamera - dying to have one like this.
Emil slides into the cab."|stage direction
140|CABBIE|Where you wanna go, buddy?|speech
141||"Emil pulls out the post-marked envelope.  Points to the
return address on it and passes it through the slot to the
Cabbie."|stage direction
142|EMIL|Here.|speech
143||"Emil looks out the window - no sign of Oleg.  Then, Oleg
hurries out the camera store, gripping something inside his
coat.  He flings both suitcases in the trunk, SLAMS it shut
and jumps in the back seat.  He opens his jacket - pulling
out the VIDEOCAMERA he just stole."|stage direction
144|EMIL (CONT'D)|Go!|speech
145||Oleg smiles sheepishly at Emil.|stage direction
146||EXT. SPANISH HARLEM - DAY|location
147||Eddie's car pulls up.  Eddie, Leon and Hawkins get out.|stage direction
148|HAWKINS|So what's unique?|speech
149|EDDIE|Not what.  Who.|speech
150||"Eddie passes Hawkins a Polaroid - of a woman on a bed -
covered in blood."|stage direction
151|EDDIE (CONT'D)|"He's from Antigua.  His girlfriend was
taking too long to put her make-up on.
they were late for a party.  Stabbed her
with a beer bottle."|speech
152|HAWKINS|That's unique.|speech
153|EDDIE|Yeah.  And he still went to the party.|speech
154||Leon moves to a LOOKOUT - gives him a twenty.|stage direction
155|LOOKOUT|Top floor.  Back room.|speech
156|EDDIE|"Yeah.  I make big cases, they make the
news and I look good.  But the problem
with becoming a star is downtown.  They
shoot at stars.  Now be quiet.  Shhh."|speech
157||"As they reach the doorway - Eddie surprises two crackheads.
Waves them off.  They hurry away."|stage direction
158|EDDIE (CONT'D)|"I hope this prick doesn't run.  My knees
are killing me.  Stay behind me."|speech
159|HAWKINS|"You're worried for my safety.  I'm
touched."|speech
160||"Eddie flattens against the building - watches Unique descend
the fire escape."|stage direction
161|HAWKINS (CONT'D)|Ready?|speech
162|EDDIE|Keep them out of my way.|speech
163|HAWKINS|Okay.  You ready?|speech
164|EDDIE|Yeah, yeah.  Jesus.|speech
165||Eddie closes in.|stage direction
166||(into his cell phone)|location
167|HAWKINS|"COME ON!  COME ON!  YOU FUCKING GUYS,
LET'S MOVE IT!"|speech
168||"Unique is climbing down the fire escape - before he gets to
the bottom, Leon bursts through a door behind him and kicks
the fire escape, sending Unique flying into the alley.  Where
he lands dropping his gun.
Eddie pulls him off the ground as Leon scoops the gun up."|stage direction
169|EDDIE|What's your rush?  Going to a party?|speech
170|UNIQUE|Why you chasin' me, man?|speech
171|EDDIE|"I don't know.  You always come outta
your house that way?"|speech
172|UNIQUE|"It's not my house, man.  I don't live
here."|speech
173|EDDIE|Well, sounds like burglary to me.|speech
174||Leon cuffs Unique who recognizes Eddie.|stage direction
175|UNIQUE|I know you man.|speech
176||"An unmarked van comes tearing into the scene.  Disgorges a
mini-cam team that starts filming but they missed the bust."|stage direction
177||(to Eddie)|location
178|HAWKINS|Any chance we can do that again?|speech
179|EDDIE|"Again?  I didn't wanna do it the first
time."|speech
180||EXT. EAST SIDE - LATE DAY|location
181||"The cab is in front of an old five-story brownstone.  Oleg
gets the bags out of the trunk as Emil tucks the envelope
into his jacket, then steps up to the old building.  He looks
back at Oleg - who's VIDEOTAPING him."|stage direction
182|EMIL|Turn that off!  Get the bags.|speech
183|OLEG|"Why should I carry your bag?  I am not a
dog."|speech
184|EMIL|"For five years I paid for your
stupidness - you'll carry my bag for the
rest of my life if I say so."|speech
185||(challenging)|location
186|EMIL|Unless you refuse, Oleg.|speech
187||"Oleg looks at Emil.  Even though Oleg is stronger than Emil,
he fears him.  He picks up both bags.  Emil searches the
occupant list over the buzzers to the apartment building."|stage direction
188|EMIL (CONT'D)|There.  5RW.|speech
189||"Emil pushes ten of the buzzers except 5RW.  A BUZZER clicks
and Emil pushes it open."|stage direction
190||INT. MILOS' APARTMENT BUILDING - STAIRWELL - DAY|location
191||"The brownstone has no elevator so Emil and Oleg climb the
stairs... Oleg cradling his camera.  Emil notices a crack
pipe on the floor and picks it up.  Smells the bowl."|stage direction
192|OLEG|What?|speech
193|EMIL|"Smell like chemicals...for smoking
drugs."|speech
194||"Emil pockets the pipe and climbs to the top floor, moving
down the dirty hallway to a corner door."|stage direction
195||INT. MILOS' APARTMENT BUILDING - HALLWAY - DAY|location
196||"He KNOCKS...FOOTSTEPS approach.  The door is opened by MILOS -
a 40-year-old Czech, dressed in stained plumbers overalls.
He  is surprised to see Emil and Oleg in his doorway.  Oleg
films him..."|stage direction
197|MILOS|Emil???!|speech
198|EMIL|Surprise!  Surprise!|speech
199||"Milos shoots a look across the tiny kitchen to TAMINA, his
comely wife."|stage direction
200||INT. MILOS' APARTMENT - CONTINUOUS|location
201||"Emil pushes his way inside.  Oleg follows.  Milos wears
plumbers overalls but Emil notices sports a Rolex.  Tamina
has on a faded dress but despite their cheaply furnished
apartment she wears an expensive brushed gold necklace,
bracelet and big pearl earrings.  The room is furnished with
kitsch from Disney World and Las Vegas.  The only anomaly is
a HUGE SONY TRINITRON HOME ENTERTAINMENT CENTER.  (The
following is in Czech and subtitled in English.)"|stage direction
202|EMIL|"Your sister said she didn't know where
you were so you shouldn't write to her
with return address if you're hiding."|speech
203|MILOS|Did you hurt her?|speech
204|EMIL|"You know me...I never hurt anybody.
Where's the money?"|speech
205|OLEG|Hello, Tamina.|speech
206||"Oleg is looking Tamina over.  Milos - though scared - barks
at Oleg."|stage direction
207|MILOS|Take your eyes off her, Oleg!|speech
208||(to Emil)|location
209|MILOS|"Look.  It wasn't my fault you two were
caught."|speech
210||(of Oleg)|location
211|MILOS|"It's his fault.  Trying to get the bank
clerk's phone number?!  I wasn't going
to wait!!!"|speech
212|EMIL|Milos.  Get my money!|speech
213||"Oleg videotapes the scene.
CLOSE ON AN AJAR DOOR
All we see behind it is a WOMAN'S FACE and her wet hair - she
obviously came from the shower and we see the towel wrapped
around her."|stage direction
214||(nervously)|location
215|MILOS|We spent it!|speech
216|EMIL|Ha. Ha.|speech
217|MILOS|"Look at the way we live.  I'm a plumber.
You think I'd be working if I had
money?!"|speech
218||"Emil, pissed, moves to a wood block and pulls out a KITCHEN
KNIFE.  He grabs Tamina roughly, putting the blade to her
throat."|stage direction
219|MILOS (CONT'D)|Emil.  Put down the knife.|speech
220||Milos looks at his wife - who is terrified.|stage direction
221|MILOS (CONT'D)|Emil.  I'll help you.|speech
222||"Milos closes the gap between him and Emil - trying to calm
him by talking softly."|stage direction
223|MILOS (CONT'D)|I can get you a job.|speech
224|EMIL|A job?|speech
225|MILOS|Yes, the money is good.|speech
226|EMIL|As a plumber?!|speech
227|MILOS|It's easy to learn.|speech
228|EMIL|"A job??  As a plumber???  You think I
come to America to work!"|speech
229|MILOS|We started over, you can too.|speech
230||(furious)|location
231|EMIL|"You spent all the money while I was in
prison?  Now you tell me to get a job
fixing toilets?!?"|speech
232||"Emil pulls the knife away from Tamina - then angrily PLUNGES
it toward Milos' chest!
Oleg videotapes it.  Then lowers the camera - shocked that
Emil killed Milos.
Blood sprays Tamina's face.  She tries to run but Oleg grabs
her, not noticing her brushed gold bracelet falls to the
floor.  He covers her mouth as he points the videocamera at
Emil who STABS Tamina - absolutely enraged!
THE WOMAN BEHIND THE DOOR
flees...Emil hears NOISE in the bedroom - a window opening.
Emil kicks the bedroom door open.  Sees the window leading to
the fire escape.  He dashes to it.  Sees four flights down -
the WOMAN, wearing a summer dress.  Barefoot.  Her hair still
wet.
She looks up.  She is beautiful and terrified.  She runs
down the alley."|stage direction
233|EMIL (CONT'D)|She saw!|speech
234||"Emil hurries toward the bathroom.  She just got out of the
shower.  Her underwear and purse are draped over a chair.
Emil grabs the purse.  Finds a CZECHOSLOVAKIAN PASSPORT.  He
opens the cover, stares at her photo and name."|stage direction
235|EMIL (CONT'D)|Daphne Hanlova.|speech
236||"There's one stamp in the passport - from the U.S. when she
arrived - June 16, 1998.  Underneath is written - 6 MONTH
STAY.  Emil flips through the rest of the passport - all
blank pages."|stage direction
237|EMIL (CONT'D)|"Six month visa.  Still here two years
later.  They'll deport her if she goes
to Police."|speech
238||"Emil pockets Daphne's passport and wallet, scoops up her
shoes and jacket - enters the kitchen and dumps them on the
floor.  He tears through the kitchen cabinets, throwing cans
and bottles aside."|stage direction
239|OLEG|What are you looking for?|speech
