|text|type
0|"TWILIGHT
Written by"|unknown
1|Melissa Rosenberg|location
2|"Based on the novel by
Stephenie Meyer
SHOOTING DRAFT
February 11, 2008"|unknown
3|EXT. SCOTTSDALE, AZ - DAY|location
4|EXT. CHARLIE'S HOUSE - DAY|location
5|INT. GYM - DAY 14|location
6|(to Bella)|stage direction
7|INT. HOSPITAL - RECEPTION - DAY 39|location
8|EXT. COMMUNITY COLLEGE GREENHOUSE - THE BUSES (CONTINUOUS)44|location
9|INT. CHARLIE'S HOUSE - KITCHEN - EVENING 45|location
10|EXT. LA PUSH BEACH - LATER DAY 49|location
11|(laughing)|stage direction
12|(in a spooky voice)|stage direction
13|(whispering)|stage direction
14|EXT. WATERFALL RESTAURANT - DINING PATIO - NIGHT 61|location
15|EXT./INT. FORKS - POLICE STATION (CONTINUOUS) - NIGHT 64|location
16|INT. BELLA'S ROOM - ON BELLA - NIGHT 66|location
17|EXT. SCHOOL -LAWN -ON BELLA'S FACE -DAWN --THICK FOG 67|location
18|EXT. FOREST - DAY 68|location
19|INT. BELLA'S ROOM - ON BELLA - MORNING 79|location
20|EXT. OLYMPIC PENINSULA - ROAD - DAY 80|location
21|EXT. CULLEN HOUSE - DAY 81|location
22|INT. CULLEN HOUSE - LIVING ROOM - DAY 82|location
23|EXT. TREE - SAME 88|location
24|EXT. FOREST - DAY|location
25|As Edward exits... Charlie holds Bella back.|stage direction
26|EXT. BASEBALL FIELD - ON THE JEEP - LATE TWILIGHT 96|location
27|(working on Bella)|stage direction
28|INT. HOSPITAL ROOM - DAY|location
29|(smiling)|stage direction
