|text|type
0|WATCHMEN|unknown
1|Written by|location
2|David Hayter & Alex Tse|unknown
3|INT. EDWARD BLAKE'S APARTMENT - KITCHEN - EVENING|location
4|INT. EDWARD BLAKE'S APARTMENT - LIVING ROOM - EVENING|location
5|EXT. STREET - EVENING|location
6|EXT. STREET - LATER (TIME CUT)|location
7|INT. EDWARD BLAKE'S APARTMENT - LIVING ROOM - NIGHT|location
8|EXT. STREET - LATE NIGHT/EARLY MORNING|location
9|INT. EDWARD BLAKE'S APARTMENT - LIVING ROOM - LATE NIGHT|location
10|INT. BLAKE'S APARTMENT - BEDROOM CLOSET - NIGHT|location
11|INT. BLAKE'S APARTMENT - LIVING ROOM - CONTINUOUS|location
12|INT. HOLLIS MASON'S APARTMENT - LATE NIGHT/EARLY MORNING|location
13|EXT. HOLLIS MASON'S APARTMENT - LATE NIGHT/EARLY MORNING|location
14|INT. SUBWAY - LATE NIGHT/EARLY MORNING|location
15|EXT. DAN DREIBERG'S TOWNHOUSE - LATE NIGHT/EARLY MORNING|location
16|INT. DAN DREIBERG'S HOUSE - CONTINUOUS|location
17|INT. DAN'S KITCHEN - CONTINUOUS|location
18|INT. DAN'S HOUSE - HALLWAY - LATE NIGHT/EARLY MORNING|location
19|INT. DAN'S OWL-CHAMBER - NIGHT|location
20|INT. SLEAZY MOTEL ROOM - EARLY MORNING|location
21|EXT. VEIDT ENTERPRISES - MORNING|location
22|INT. VEIDT ENTERPRISES - LOBBY - MORNING|location
23|INT. ADRIAN VEIDT'S OFFICE - MORNING|location
24|INT. ADRIAN VEIDT'S OFFICE - LATER|location
25|EXT. PAKISTAN/INDIA BORDER (KASHMIR) - SAME TIME|location
26|INT. BRIDGE - BATTLESHIP - CHINESE WATERS - SAME TIME|location
27|INT. MISSILE CONTROL ROOM - ISRAEL - SAME TIME|location
28|EXT. ROCKEFELLER MILITARY BASE - EVENING|location
29|INT. HALLWAY - DR. MANHATTAN'S COMPOUND - EVENING|location
30|INT. LABORATORY - CONTINUOUS|location
31|EXT. PORT OF LONG BEACH - CONTINUOUS|location
32|INT. LABORATORY - CONTINUOUS|location
33|EXT. ROCKEFELLER MILITARY BASE - CONTINUOUS|location
34|INT. LABORATORY - SAME TIME|location
35|INT. JUPITER HOUSE - NIGHT (FLASHBACK - 25 YEARS AGO)|location
36|INT. LABORATORY - EVENING|location
37|INT. RECEPTION - DR. MANHATTAN'S COMPOUND - EVENING|location
38|EXT. NEW YORK CITY - NIGHT|location
39|INT. RESTAURANT - NIGHT|location
40|EXT. RESTAURANT - NIGHT|location
41|EXT. CEMETERY - LATE AFTERNOON|location
42|INT. HALLWAY - SALLY JUPITER'S CONDO - LOS ANGELES, CA - DAY|location
43|EXT. NEPENTHE VISTA - SAME TIME|location
44|INT. SALLY'S CONDO - DAY|location
45|EXT. CEMETERY - LATE AFTERNOON|location
46|INT. BAR - SAIGON - NIGHT - (FLASHBACK - 1964)|location
47|VIETNAMESE GIRL (O.S.)|stage direction
48|EXT. CEMETERY - EARLY EVENING|location
49|INT. WATCHMEN HEADQUARTERS - NIGHT - (FLASHBACK 15 YEARS AGO)|location
50|EXT. CEMETERY - LATE AFTERNOON|location
51|EXT. CITY STREETS - NIGHT - (FLASHBACK 10 YEARS AGO)|location
52|BLAKE (CONT'D)|stage direction
53|EXT. CEMETERY - EVENING|location
54|EXT. CEMETERY GATES - CONTINUOUS|location
55|INT. MOLOCH'S BROWNSTONE - NIGHT|location
56|INT. MOLOCH'S KITCHEN - NIGHT|location
57|EXT. CITYSCAPE - NIGHT|location
58|"CLOSE ON: Rorschach blasting through the night air as the
city streams by. This close, he appears to be flying.
RORSCHACH (V.0.)
Rorschach's Journal, October 17th."|stage direction
59|EXT. CEMETERY - NIGHT|location
60|RORSCHACH (CONT'D)|stage direction
61|INT. ROCKEFELLER MILITARY BASE - BEDROOM - AFTERNOON|location
62|INT. DAN'S HOUSE - KITCHEN - EVENING|location
63|INT. LIVING ROOM - EVENING|location
64|INT. DAN'S KITCHEN - NIGHT|location
65|EXT. STREET - NIGHT|location
66|EXT. STREET - SAME TIME|location
67|INT. TELEVISION STUDIO - NIGHT|location
68|EXT. ALLEY - SAME TIME|location
69|INT. TELEVISION STUDIO - BACK STAGE - SAME TIME|location
70|CUT TO: Dan and Laurie surrounded by the Thugs . when|stage direction
71|EXT. ROOF - SAME TIME|location
72|EXT. ALLEY - NIGHT|location
73|INT. HOLLIS MASON'S APARTMENT - NIGHT|location
74|INT. CAB (MOVING) - NIGHT|location
75|INT. WATCHMEN HEADQUARTERS - NIGHT (FLASHBACK - 15 YEARS AGO)|location
76|EXT. WATCHMEN HEADQUARTERS - NIGHT (FLASHBACK - 15 YEARS AGO)|location
77|INT. CAB (STOPPED) - NIGHT|location
78|INT. ROCKEFELLER BASE - COMMUNICATIONS ROOM - NIGHT|location
