|character|text|type
0||Crouching Tiger, Hidden Dragon|location
1||Wang Hui Ling, James Schamus, Tsai Kuo Jung|unknown
2||EXT. YUAN COMPOUND - DAY|location
3||"Security men and porters are loading wagons for a convoy.
As they work, we see across the lake a lone horseman entering
the village.  One of the men recognizes him."|stage direction
4|WORKER|Master Li is here!|speech
5||"ANGLE ON: Li Mu Bai, thirties, powerful and handsome.
In the background, old Aunt Wu, at the sight of Li Mu Bai,
drops her parcels and runs excitedly into the building."|stage direction
6||INT. YUAN HALLWAY - DAY|location
7||Aunt Wu runs hurriedly through the halls.|stage direction
8|AUNT WU|Shu Lien!|speech
9||INT. YU'S ROOM - DAY|location
10||"Yu, a beautiful woman in her early 30s, is finishing packing
for the convoy, wrapping a few small items in a linen
wrapper, as Aunt Wu bursts in."|stage direction
11|AUNT WU|Li Mu Bai is here!|speech
12||INT. YUAN PRACTICE HALL - DAY|location
13|LI|How's everything?|speech
14|AUNT WU|Fine.  Please come in.|speech
15||"Yu sits, composed, as Aunt Wu ushers Li in.  Li carries a
large object, wrapped in silk.
Yu smiles."|stage direction
16|YU|Mu Bai...It's been too long.|speech
17|LI|It has.|speech
18||"(he glances around
the room)"|location
19|LI|How's business?|speech
20|YU|Good.  And how are you?|speech
21|LI|Fine.|speech
22||An awkward pause.|stage direction
23|YU|"Monk Zheng said you were at Wudan
Mountain.  He said you were
practicing deep meditation."|speech
24|LI|Yes.|speech
25|YU|"The mountain must be so peaceful...
I envy you.  My work keeps me so
busy, I hardly get any rest."|speech
26|LI|I left the training early.|speech
27|YU|"Why?  You're a Wudan fighter.
Training is everything."|speech
28|LI|"During my meditation training... I
came to a place of deep silence...
I was surrounded by light... Time
and space disappeared.  I had come
to a place my master had never told
me about."|speech
29|YU|You were enlightened?|speech
30|LI|"No.  I didn't feel the bliss of
enlightenment.  Instead... I was
surrounded by an endless sorrow.  I
couldn't bear it.  I broke off my
meditation.  I couldn't go on.
There was something... pulling me
back."|speech
31|YU|What was it?|speech
32|LI|"Something I can't let go of.  You
are leaving soon?"|speech
33|YU|"We're preparing a convoy for a
delivery to Peking."|speech
34|LI|"Perhaps I could ask you to deliver
something to Sir Te for me."|speech
35||"Li unwraps the object.  It is an ancient, astonishingly
beautiful sword."|stage direction
36|YU|"The Green Destiny Sword?  You're
giving it to Sir Te?"|speech
37|LI|"I am.  He has always been our
greatest protector."|speech
38|YU|"I don't understand.  How can you
part with it?  It has always been
with you."|speech
39|LI|"Too many men have died at its edge.
It only looks pure because blood
washes so easily from its blade."|speech
40|YU|"You use it justly, you're worthy of
it."|speech
41|LI|It's time for me to leave it behind.|speech
42|YU|So what will you do now?|speech
43||Li doesn't reply.|stage direction
44|YU|"Come with me to Peking.  You can
give the sword to Sir Te yourself.
It'll be just like old times."|speech
45|LI|"First I must visit my master's
grave.  It's been many years since
Jade Fox murdered him.  I have yet
to avenge his death.  And yet I'm
thinking of quitting.  I must pray
for his forgiveness."|speech
46|YU|"Join me once you have finished.  I
can wait for you in Peking."|speech
47|LI|Perhaps.|speech
48||EXT. THE GATE TO PEKING. DAY|location
49||"Customs officials have just finished checking the contents
in a row of carriages bearing the Sun Security insignia.
The caravan slowly passes through the checkpoint into the
boundaries of Peking.  Yu, riding a handsome horse and
clearly the leader, watches as her crew clears inspection."|stage direction
50|GUARDS|Ok.  Pass.|speech
51|YU|Thanks.  Let's go into the city.|speech
52||EXT. OUTSIDE A DEPOT. DAY|location
53||"Workers are busy unloading the contents from the carriages.
Boss Giao is checking off the merchandise -- a cargo of
medicinal herbs."|stage direction
54|GIAO|"Everything got here safely.  I'm
much obliged."|speech
55|YU|Just doing my job.|speech
56|GIAO|"Sun Security has been the best
since your father started it.
You're a credit to his memory."|speech
57|YU|Thank you.|speech
58|GIAO|I mean it.|speech
59||EXT. DAY. PEKING|location
60||"From a gray tiled roof, we can see Peking's magnificent grid
of houses extending miles and miles out, freshly painted by
the morning sun."|stage direction
61||EXT. PEKING STREET. DAY|location
62||"Dusty and congested as always, people, horses, and carriages
are fighting to get through the boulevards.
A group of jugglers perform at a corner.
Yu surveys the busy street from on top of her horse."|stage direction
63||INT. TE'S GREAT HALL - DAY|location
64||Yu presents the sword to Sir Te.|stage direction
65|SIR TE|"This is Li's personal sword, a
great hero's weapon!  He is the
only one in the world worthy of
carrying it.  It's too fine a gift.
I cannot accept it."|speech
66|YU|"Sir Te!  It has brought him as much
trouble as glory.  Help him to
leave these troubles behind.
Otherwise, he'll never be able to
start anew."|speech
67|SIR TE|"All right.  I'll act as the sword's
custodian."|speech
68||De Lu, the head servant, enters.|stage direction
