|character|text|type
0||CRADLE TO THE GRAVE|stage direction
1||"Written by
John O'Brien and Channing Gibson
Story by
John O'Brien"|unknown
2|unknown|May 2002 Draft|speech
3||"FOR EDUCATIONAL
PURPOSES ONLY
2."|unknown
4||FADE IN:|stage direction
5||EXT. STREETS (LOS ANGELES) - DAY|location
6||"End of the day.     An armored truck moves through the city of
Los Angeles."|stage direction
7||EXT. JEWELRY EXCHANGE - DAY|location
8||"The armored truck pulls up. An ARMORED TRUCK GUARD emerges
from the back with a satchel and heads inside."|stage direction
9||INT. JEWELRY EXCHANGE - LOBBY - CONTINUOUS ACTION|location
10||"A large foyer. Security station and elevators. PARTY SOUNDS
can be heard from a second floor balcony.
DOUGLAS is the security guard manning the station. Seeing
the Armored car Guard entering, he picks up the phone and
dials. Beat. Into phone --"|stage direction
11||DOUGLAS|location
12||Last delivery's finally here.|unknown
13||"The Armored Truck Guard approaches the security station. As
he and Douglas exchange paperwork, the Armored Truck Guard
references the sounds from upstairs --"|stage direction
14||"ARMORED TRUCK GUARD
Party?"|unknown
15||DOUGLAS|location
16||Introducing a new line of jewelry.|unknown
17||ARMORED TRUCK GUARD|location
18||"Wife wants me to buy her a ruby ring.
Told her to spend a little time with
the family jewels first."|unknown
19||"PING. An ELEVATOR opens. A second security guard's inside.
Handing over the satchel and heading out --"|stage direction
20||"ARMORED TRUCK GUARD
Keep it real."|unknown
21||INT. ELEVATOR - CONTINUOUS ACTION|location
22||"We see the security guard with the satchel use a key-card to
gain elevator access to the lower floors. As the elevator
doors slide closed..."|stage direction
23||3.|unknown
24||INT. VAULT ANTEROOM - MOMENTS LATER|location
25||"An exclusive showroom. Display tables empty. At one end of
the room, the elevator. At the other end, the open door to
a walk-in vault.
The ELEVATOR PINGS, and the doors open. The guard emerges
with the cart. Pushes it across the room to the outside of
the vault.
A man in a suit emerges from the vault and starts unloading
the cart into the vault."|stage direction
26||INT. SUBWAY STATION - DAY|location
27||"A train arrives.   People jostle on and off.
One man remains on the platform. MILES. Crisp dresser.
Carrying a large leather bag. A cylinder hanging by a strap
over his shoulder.
The train doors begin to close.   When...
A fist inserts itself between the doors. They re-open, and
a man steps onto the platform. TONY FAIT. Well-dressed.
Intense.
Fait joins Miles. They watch the train pull out. They
check to make sure the station's empty. Then jump off the
platform into the tunnel and disappear."|stage direction
28||INT. VAULT ANTEROOM - DAY|location
29||"The man in the suit has finished unloading the cart. He
closes the heavy vault door and spins a large wheel on the
door, securing the vault."|stage direction
30||INT. SUBWAY TUNNEL - DAY|location
31||"Fait and Miles run down the dark tunnel, staying close to
the wall. Miles stumbles. Falls toward the deadly, high-
voltage third rail.
Out of nowhere, Fait's hand grabs Miles' jacket. Stops him.
Just before he hits. Inches from the rail. Fait pulls him
back up and away from the danger."|stage direction
32|FAIT|Watch yourself.|speech
33||Miles nods.|stage direction
34||"4.
FAIT"|unknown
35|FAIT|Keep it tight.|speech
36||Miles nods again, and they set off.|stage direction
37||INT. JEWELRY EXCHANGE - LOBBY - DAY|location
38||"Sounds of the PARTY continue from upstairs. At the security
station, the guard, Douglas, looks up from a magazine and
scans the security monitors.
ANGLE - SECURITY MONITORS
depicting the empty vault, empty vault anteroom, various
empty store areas and the elevator, in which we see the man
in the suit riding up.
BACK TO SCENE
Douglas settles back in with his magazine."|stage direction
39||INT. SUBWAY TUNNEL - DAY|location
40||"Fait and Miles reach an access door tagged with paint.    Fait
starts to open it.
Suddenly, the tunnel is filled with the ROAR of an
APPROACHING TRAIN. Fait and Miles leap to the wall.   Press
their backs against it as tightly as they can.
The TRAIN whooms past, inches from their faces. When it's
gone, Miles sighs with relief. Fait cracks the access door."|stage direction
41||INT. SUBWAY UTILITY TUNNELS - DAY|location
42||"Fait moves quickly, Miles following. Fait makes fast lefts
and rights, following more spray paint.
They branch off into a small dirt-floored space, deep in the
sub-foundation of a building. Fait stops. Overhead is a
flat ceiling. On the ceiling, his flashlight finds a spray-
painted circle."|stage direction
43||FAIT|unknown
44|FAIT|Bull's-eye.|speech
45||"Without a word, Miles begins assembling equipment.    Fait
pulls out a cell phone."|stage direction
46||EXT. PARKING GARAGE - (SANTA MONICA) ROOFTOP - DAY|location
47||5.|unknown
48||A man, DUNCAN SU, sits in a rental 2002 Thunderbird.|stage direction
49||INT. SU'S RENTAL T-BIRD - CONTINUOUS ACTION|location
50||"Su's focused, intense, listening to a fancy WALKMAN through
HEADPHONES. We hear what he hears. Only there's no music,
just STATIC.
Suddenly, on Su's headphones, a PHONE RINGS. Su grows even
more alert. We hear a man with a French accent answer the
phone."|stage direction
51||"CHRISTOPHE (V.O.)
Yes?"|unknown
52||FAIT (V.O.)|location
53||We're in position.|unknown
54||CHRISTOPHE (V.O.)|location
55||"Delivery confirmed. The stones are
there.
FAIT (V.O.)
Not for long."|unknown
56||"CLICK.   HISS.
Su didn't like what he just heard.       Curses in Chinese.   And
takes off."|stage direction
57||EXT. CHRISTOPHE'S APARTMENT BUILDING - DAY|location
58||"Perched on the side of a cliff above the Pacific, next to
the park. The top floor is at street level.
Su easily gains access to the roof of the building. He
moves to an exact position just at the ocean-side edge. It's
an eight-story drop.
Su faces in.      And then... Hops backward off the roof.
Falling feet-first through the air, Su momentarily grabs
onto an eight-floor balcony rail, slowing his descent, then
lets go.
Momentarily grabs a seventh-floor rail and lets go. Grabs a
sixth-floor rail. Hangs on this time. Vaults lightly onto
the balcony."|stage direction
59||INT. CHRISTOPHE'S APARTMENT - LIVING ROOM - DAY|location
60||6.|unknown
61||"A large, free-standing FISH TANK BUBBLES away. Nearby,
CHRISTOPHE is packing to leave town. When..."|stage direction
62||SU (0.S.)|location
63||Where are the stones?|unknown
64||Christophe turns.       Sees Su standing behind him.|stage direction
65||CHRISTOPHE|location
66||"(French accent)
Who the fuck are you?"|unknown
67||Wham.   The Chinese boxing version of a bitch-slap.|stage direction
68||SU|location
69||"Who's getting them for you?
CHRISTOPHE
Fuck off."|unknown
70||"Wham!   Wham!   Wham!     Wham!   Much more violent than a bitch-
slap."|stage direction
71||"CHRISTOPHE
I'll tell you.
SU
I know."|unknown
72||INT. SUB-FOUNDATION - DAY|location
73||"A plasma torch burns through the metal-reinforced slab
overhead. Fait taps Miles, who turns off the torch.
Fait hammers at the last layer. And..."|stage direction
74||INT. VAULT ANTEROOM - CONTINUOUS ACTION|location
75||"A hole appears under the private display table, where it
can't be seen by the room's security camera."|stage direction
76||INT. SUB-FOUNDATION - DAY|location
77||"Fait communicates via a high-tech, transmitting/receiving
earwig."|stage direction
78||"FAIT
Daria."|unknown
79||INT. JEWELRY EXCHANGE - LOBBY - DAY|location
80||"Douglas looks up from his magazine and checks the security
monitors again. Everything a-okay."|stage direction
81||7.|unknown
82||"ANGLE - FRONT DOOR
A limo pulls up outside."|stage direction
83||EXT. JEWELRY EXCHANGE - DAY|location
84||"A uniformed chauffeur gets out of the limo, moves to the
back and opens the door. A very attractive woman in a
short, tight dress emerges."|stage direction
85||INT. JEWELRY EXCHANGE - LOBBY - DAY|location
86||"Escorted by the chauffeur, the woman, DARIA, enters. She
approaches the security station. Up close, in the light,
Daria's even more alluring. And knows how to wield it."|stage direction
87|DARIA|I'm here for the reception.|speech
88||DOUGLAS|unknown
89|DARIA|Name, please?|speech
90||DARIA|unknown
91|DARIA|Angie Rawlins.|speech
92||Douglas scans a list of names.      Checks off hers.|stage direction
